ID,"Oznaczenie lokalu","Cena [PLN]","Cena za m² [PLN]","Data aktualizacji","Cena przed zmianą [PLN]","Cena za m² przed zmianą [PLN]","Nazwa dewelopera","Forma prawna dewelopera","Nr NIP","Nr REGON","Nr telefonu","Adres poczty elektronicznej","Adres strony internetowej dewelopera","Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Sposób kontaktu nabywcy z deweloperem"
11054,"Mieszkanie 11/M3a/6B",415695.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11068,"Mieszkanie 12/M3b/6B",450898.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11082,"Mieszkanie 13/M2/6B",340032.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11096,"Mieszkanie 14/M2/6B",340032.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11110,"Mieszkanie 15/M2a/6B",356524.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11124,"Mieszkanie 16/M3c/6B",430675.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11138,"Mieszkanie 17/M3d/6B",456890.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11152,"Mieszkanie 18/M4/6B",561750.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11166,"Mieszkanie 19/M3/6B",378741.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11213,"Mieszkanie 20/M3a/6B",415695.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11227,"Mieszkanie 21/M3e/6B",417193.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11241,"Mieszkanie 22/M2/6B",340032.00,7590.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11255,"Mieszkanie 23/M2/6B",340032.00,7590.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11269,"Mieszkanie 24/M2a/6B",356524.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11283,"Mieszkanie 25/M3c/6B",430675.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11297,"Mieszkanie 26/M3f/6B",432922.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11311,"Mieszkanie 27/M4/6B",561750.00,7490.00,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11446,"Miejsce postojowe AK/2G",45000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11466,"Miejsce postojowe K6E/20G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11467,"Miejsce postojowe K6E/21G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11468,"Miejsce postojowe K6E/22G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11469,"Miejsce postojowe K6D/17G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11470,"Miejsce postojowe K6D/2GR",65000.00,,"2025-12-04 10:49:55",55000.00,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11471,"Miejsce postojowe K6C/11G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11472,"Miejsce postojowe K6C/12G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11473,"Miejsce postojowe K6C/13G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11474,"Miejsce postojowe K6C/21G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11475,"Miejsce postojowe K6C/22G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11476,"Miejsce postojowe K6C/23G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11477,"Miejsce postojowe K6B/11G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11478,"Miejsce postojowe K6B/12G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11479,"Miejsce postojowe K6B/13G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11480,"Miejsce postojowe K6B/14G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11481,"Miejsce postojowe K6B/15G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11482,"Miejsce postojowe K6B/17G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11483,"Miejsce postojowe K6B/18G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11484,"Miejsce postojowe K6B/19G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11485,"Miejsce postojowe K6B/20G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11486,"Miejsce postojowe K6B/21G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11487,"Miejsce postojowe K6B/22G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11488,"Miejsce postojowe K6B/23G",39000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11489,"Miejsce postojowe K6B/1GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11490,"Miejsce postojowe K6B/2GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11491,"Miejsce postojowe K6B/3GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11492,"Miejsce postojowe K6B/4GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11493,"Miejsce postojowe K6B/5GR",55000.00,,"2025-09-05 19:11:49",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
